Date.Sampled,Sample,Rep,750A,665A,750B,665B,chla
6/15/2017,H,A,0.002,0.007,0,-0.001,-8.58
6/15/2017,H,B,0,0.005,0,-0.001,-8.58
6/15/2017,H,C,0.002,0.007,0,-0.001,-8.58
6/15/2017,So,A,0.002,0.01,0,-0.001,-12.87
6/15/2017,So,B,0.001,0.01,0,0,-12.87
6/15/2017,So,C,0.002,0.01,0,0,-11.44
6/15/2017,Sh,A,0.002,0,0,-0.001,1.43
6/15/2017,Sh,B,0.002,0,0,0,2.86
6/15/2017,Sh,C,0.001,0,0,0,1.43
6/15/2017,F,A,0.001,0.001,0,-0.001,-1.43
6/15/2017,F,B,0.002,0,0.001,0,1.43
6/15/2017,F,C,0.001,0,0,-0.001,0
6/15/2017,T,A,0.001,0.001,0,-0.001,-1.43
6/15/2017,T,B,0.002,0,0,-0.001,1.43
6/15/2017,T,C,0.002,0,0,-0.001,1.43
6/15/2017,Cr,A,,,,,
6/15/2017,Cr,B,,,,,
6/15/2017,Cr,C,,,,,
6/19/2017,H,A,0.001,0.001,0,-0.001,-1.43
6/19/2017,H,B,0.001,0.001,0,0,0
6/19/2017,H,C,0.001,0.001,0,0.001,1.43
6/19/2017,So,A,0.001,0.002,0,-0.001,-2.86
6/19/2017,So,B,0.001,0.001,0,-0.001,-1.43
6/19/2017,So,C,0.001,0.002,0,0,-1.43
6/19/2017,Sh,A,0.001,0.003,0,0,-2.86
6/19/2017,Sh,B,0.001,0.002,0,0.001,0
6/19/2017,Sh,C,0.001,0.001,0,0.006,8.58
6/19/2017,F,A,0.001,0.003,0,0,-2.86
6/19/2017,F,B,,,,,
6/19/2017,F,C,0.002,0.004,0,0,-2.86
6/19/2017,T,A,0.001,0.004,0,0.001,-2.86
6/19/2017,T,B,0,0.003,0,0,-4.29
6/19/2017,T,C,0.001,0.004,0,0,-4.29
6/19/2017,Cr,A,0.002,0.005,0,0,-4.29
6/19/2017,Cr,B,0.002,0.005,0,-0.001,-5.72
6/19/2017,Cr,C,0,0.003,0,-0.001,-5.72
6/22/2017,H,A,0,0,0.0652,0.003,-88.946
6/22/2017,H,B,0,-0.001,0.004,0.002,-1.43
6/22/2017,H,C,0,-0.003,0,0,4.29
6/22/2017,So,A,0,-0.008,0,-0.004,5.72
6/22/2017,So,B,0,0.001,-0.004,0.002,7.15
6/22/2017,So,C,0,0.001,0.001,0.001,-1.43
6/22/2017,Sh,A,0,0,0,0,0
6/22/2017,Sh,B,0,0.0001,0.001,0.001,-0.143
6/22/2017,Sh,C,0,0.0001,0,0,-0.143
6/22/2017,F,A,0,0,0,0,0
6/22/2017,F,B,-0.0001,0.0008,0,0.007,8.723
6/22/2017,F,C,-0.0001,0.0001,0,0,-0.286
6/22/2017,T,A,0,0,0,0,0
6/22/2017,T,B,0,-0.001,0.001,0,0
6/22/2017,T,C,0,0,0,0,0
6/22/2017,Cr,A,0,-0.001,0,0,1.43
6/22/2017,Cr,B,0,0,0,0,0
6/22/2017,Cr,C,0,-0.001,0,0,1.43
6/26/2017,H,A,0.002,0.025,0.002,0.035,14.3
6/26/2017,H,B,0,0.01,0,0.016,8.58
6/26/2017,H,C,0.01,0.002,0.001,0.001,11.44
6/26/2017,So,A,0,0.004,0,0.005,1.43
6/26/2017,So,B,0,0.007,0,0.006,-1.43
6/26/2017,So,C,0,0,0.002,0.002,0
6/26/2017,Sh,A,0,0.015,0,0.024,12.87
6/26/2017,Sh,B,0,0.006,0,0.006,0
6/26/2017,Sh,C,0,0.003,0,0.004,1.43
6/26/2017,F,A,0,0.003,0,0.001,-2.86
6/26/2017,F,B,0,0.006,0,0.007,1.43
6/26/2017,F,C,0,-0.001,0,0,1.43
6/26/2017,T,A,0,0.003,0,0.002,-1.43
6/26/2017,T,B,0,0.004,0,0.002,-2.86
6/26/2017,T,C,0,0.002,0,0.002,0
6/26/2017,Cr,A,0,-0.001,0,0,1.43
6/26/2017,Cr,B,0,-0.001,0.001,0.004,5.72
6/26/2017,Cr,C,0,-1,0,0,1430
6/29/2017,H,A,0,0,0.001,0.008,10.01
6/29/2017,H,B,0,0,0.001,0.007,8.58
6/29/2017,H,C,0.001,0.001,0.006,0.012,8.58
6/29/2017,So,A,0.001,0.001,0,0.009,12.87
6/29/2017,So,B,0.001,0.002,0,0.005,5.72
6/29/2017,So,C,0.001,0.003,0,0.003,1.43
6/29/2017,Sh,A,0.001,0.003,0,0.003,1.43
6/29/2017,Sh,B,0,0.003,0,0.002,-1.43
6/29/2017,Sh,C,0,0,0,0.002,2.86
6/29/2017,F,A,0,0.002,0,0.002,0
6/29/2017,F,B,0,0.003,0.001,0.002,-2.86
6/29/2017,F,C,0,0.003,0,0.003,0
6/29/2017,T,A,0.001,0.003,0.005,0.015,11.44
6/29/2017,T,B,0.001,0.004,0.005,0.009,1.43
6/29/2017,T,C,0,0.002,0.009,0.003,-11.44
6/29/2017,Cr,A,0,0.007,0,0,-10.01
6/29/2017,Cr,B,0,0.007,0,0,-10.01
6/29/2017,Cr,C,0,0.007,0,0,-10.01
7/3/2017,H,A,0.001,0.002,-0.001,0.004,5.72
7/3/2017,H,B,0,0.002,-0.001,0.004,4.29
7/3/2017,H,C,0.001,0.003,-0.001,0.004,4.29
7/3/2017,So,A,0.001,0.004,-0.001,0.007,7.15
7/3/2017,So,B,0.002,0.004,-0.001,0.006,7.15
7/3/2017,So,C,0,0.003,-0.001,0.004,2.86
7/3/2017,Sh,A,0,0.001,0,0.002,1.43
7/3/2017,Sh,B,0,0.001,-0.001,0.003,4.29
7/3/2017,Sh,C,0.001,0.007,-0.001,0.001,-5.72
7/3/2017,F,A,0,0,-0.001,0.001,2.86
7/3/2017,F,B,0,0.001,-0.001,0.001,1.43
7/3/2017,F,C,0.001,0.002,0,0.002,1.43
7/3/2017,T,A,0,0.001,-0.001,0.002,2.86
7/3/2017,T,B,0.001,0.001,-0.001,0.01,15.73
7/3/2017,T,C,0,0,-0.001,0.001,2.86
7/3/2017,Cr,A,,,,,
7/3/2017,Cr,B,,,,,
7/3/2017,Cr,C,,,,,
7/6/2017,H,A,0.003,0.006,0,0.008,7.15
7/6/2017,H,B,0.003,0.006,0,0.007,5.72
7/6/2017,H,C,0.002,0.007,0.001,0.01,5.72
7/6/2017,So,A,0.002,0.006,0.001,0.003,-2.86
7/6/2017,So,B,0.001,0.003,0,0.001,-1.43
7/6/2017,So,C,0.001,0.003,0.001,0.003,0
7/6/2017,Sh,A,0.001,0.003,0.002,0.005,1.43
7/6/2017,Sh,B,0.003,0.006,0.001,0.005,1.43
7/6/2017,Sh,C,0.001,0.001,0.001,0.003,2.86
7/6/2017,F,A,0,0.001,0,0.001,0
7/6/2017,F,B,0.002,0,0,0.001,4.29
7/6/2017,F,C,0.001,0.001,0.001,0.001,0
7/6/2017,T,A,0.001,0.003,0.001,0.005,2.86
7/6/2017,T,B,0.001,0.005,0.002,0.009,4.29
7/6/2017,T,C,0.001,0.002,0,0.002,1.43
7/6/2017,Cr,A,0,0.001,0,-0.003,-5.72
7/6/2017,Cr,B,0.001,0.004,0.001,-0.003,-10.01
7/6/2017,Cr,C,0.001,0.004,0.001,-0.003,-10.01
7/10/2017,H,A,0.001,0.0046,0.0012,0.0076,4.004
7/10/2017,H,B,0.005,0.0049,0.0009,0.0081,10.439
7/10/2017,H,C,0.0006,0.0148,0.0068,0.0184,-3.718
7/10/2017,So,A,0.0009,0.0021,0.0017,0.0039,1.43
7/10/2017,So,B,0.0004,0.0062,0.001,0.01,4.576
7/10/2017,So,C,0.0005,0.0021,0.0017,0.0043,1.43
7/10/2017,Sh,A,0.0027,0.0076,0.0038,0.0106,2.717
7/10/2017,Sh,B,0.0004,0.0067,0.0004,0.0106,5.577
7/10/2017,Sh,C,0.0004,0.0056,0.001,0.0093,4.433
7/10/2017,F,A,0.0006,0.002,0.0006,0.0026,0.858
7/10/2017,F,B,0.05,0.0111,0.0011,0.0093,67.353
7/10/2017,F,C,0.0009,0.0028,0.002,0.0054,2.145
7/10/2017,T,A,,,,,
7/10/2017,T,B,0.0049,0.0068,0.0081,0.0104,0.572
7/10/2017,T,C,0.0039,0.0055,0.0074,0.0099,1.287
7/10/2017,Cr,A,0.0006,0.0009,0.0005,0.0006,-0.286
7/10/2017,Cr,B,0.0006,0.0009,0.0005,0.0005,-0.429
7/10/2017,Cr,C,0.0004,-0.0005,0.0005,0.0005,1.287
7/13/2017,H,A,0.0009,0.0034,0.0005,0.0038,1.144
7/13/2017,H,B,,,0.0002,0.0093,13.013
7/13/2017,H,C,0.0004,0.0024,0.0013,0.0035,0.286
7/13/2017,So,A,0.0013,0.0039,0.0011,0.0042,0.715
7/13/2017,So,B,0.001,0.0085,0.0004,0.0099,2.86
