Date,Time,Temp,Intensity,,,,
8/14/2017,12:00:00,21.569,9644.5,,,,
8/14/2017,14:00:00,21.855,4477.8,,,,
8/14/2017,16:00:00,22.812,17911.2,,,,
8/14/2017,18:00:00,22.717,1550,,,,
8/14/2017,20:00:00,22.908,10.8,,,,
8/14/2017,22:00:00,22.908,0,,,,
8/15/2017,0:00:00,22.238,0,,,,
8/15/2017,2:00:00,22.429,0,,,,
8/15/2017,4:00:00,22.238,0,,,,
8/15/2017,6:00:00,22.046,10.8,,,,
8/15/2017,8:00:00,21.855,2066.7,,,,
8/15/2017,10:00:00,21.951,4650,,,,
8/15/2017,12:00:00,22.333,4994.5,,,,
8/15/2017,14:00:00,23.484,5166.7,,,,
8/15/2017,16:00:00,24.062,14466.8,,,,
8/15/2017,18:00:00,23.869,2669.5,,,,
8/15/2017,20:00:00,23.773,0,,,,
8/15/2017,22:00:00,23.484,0,,,,
8/16/2017,0:00:00,22.908,0,,,,
8/16/2017,2:00:00,22.812,0,,,,
8/16/2017,4:00:00,22.333,0,,,,
8/16/2017,6:00:00,21.951,64.6,,,,
8/16/2017,8:00:00,21.855,1980.6,,,,
8/16/2017,10:00:00,21.951,4994.5,,,,
8/16/2017,12:00:00,22.621,6544.5,,,,
8/16/2017,14:00:00,23.773,6200,,,,
8/16/2017,16:00:00,24.351,4822.3,,,,
8/16/2017,18:00:00,24.448,398.3,,,,
8/16/2017,20:00:00,24.448,0,,,,
8/16/2017,22:00:00,23.677,0,,,,
8/17/2017,0:00:00,24.255,0,,,,
8/17/2017,2:00:00,24.158,0,,,,
8/17/2017,4:00:00,22.908,0,,,,
8/17/2017,6:00:00,22.908,0,,,,
8/17/2017,8:00:00,23.484,193.8,,,,
8/17/2017,10:00:00,23.388,1001,,,,
8/17/2017,12:00:00,23.292,3788.9,,,,
8/17/2017,14:00:00,23.581,5511.1,,,,
8/17/2017,16:00:00,24.158,11711.2,,,,
8/17/2017,18:00:00,24.062,1291.7,,,,
8/17/2017,20:00:00,23.869,0,,,,
8/17/2017,22:00:00,23.966,0,,,,
8/18/2017,0:00:00,23.581,0,,,,
8/18/2017,2:00:00,23.292,0,,,,
8/18/2017,4:00:00,23.004,0,,,,
8/18/2017,6:00:00,22.717,0,,,,
8/18/2017,8:00:00,22.525,742.7,,,,
8/18/2017,10:00:00,22.525,1636.1,,,,
8/18/2017,12:00:00,22.717,2152.8,,,,
8/18/2017,14:00:00,23.292,1356.3,,,,
8/18/2017,16:00:00,23.677,5166.7,,,,
8/18/2017,18:00:00,23.966,495.1,,,,
8/18/2017,20:00:00,24.158,0,,,,
8/18/2017,22:00:00,24.158,0,,,,
8/19/2017,0:00:00,23.966,0,,,,
8/19/2017,2:00:00,23.484,0,,,,
8/19/2017,4:00:00,23.292,0,,,,
8/19/2017,6:00:00,23.004,0,,,,
8/19/2017,8:00:00,22.812,366,,,,
8/19/2017,10:00:00,22.812,958,,,,
8/19/2017,12:00:00,23.1,1065.6,,,,
8/19/2017,14:00:00,23.581,1044.1,,,,
8/19/2017,16:00:00,24.158,6200,,,,
8/19/2017,18:00:00,24.351,419.8,,,,
8/19/2017,20:00:00,24.351,0,,,,
8/19/2017,22:00:00,24.158,0,,,,
8/20/2017,0:00:00,23.773,0,,,,
8/20/2017,2:00:00,23.292,0,,,,
8/20/2017,4:00:00,22.621,0,,,,
8/20/2017,6:00:00,22.429,10.8,,,,
8/20/2017,8:00:00,22.142,1151.7,,,,
8/20/2017,10:00:00,22.333,3788.9,,,,
8/20/2017,12:00:00,22.812,3444.5,,,,
8/20/2017,14:00:00,23.484,3100,,,,
8/20/2017,16:00:00,23.773,2755.6,,,,
8/20/2017,18:00:00,24.062,269.1,,,,
8/20/2017,20:00:00,24.158,0,,,,
8/20/2017,22:00:00,24.255,0,,,,
8/21/2017,0:00:00,24.062,0,,,,
8/21/2017,2:00:00,23.869,0,,,,
8/21/2017,4:00:00,23.773,0,,,,
8/21/2017,6:00:00,23.292,10.8,,,,
8/21/2017,8:00:00,23.484,1550,,,,
8/21/2017,10:00:00,23.677,3444.5,,,,
8/21/2017,12:00:00,24.158,3788.9,,,,
8/21/2017,14:00:00,24.255,2238.9,,,,
8/21/2017,16:00:00,24.545,2583.4,,,,
8/21/2017,18:00:00,24.062,279.9,,,,
8/21/2017,20:00:00,24.351,0,,,,
8/21/2017,22:00:00,24.351,0,,,,
8/22/2017,0:00:00,24.255,0,,,,
8/22/2017,2:00:00,24.062,0,,,,
8/22/2017,4:00:00,23.869,0,,,,
8/22/2017,6:00:00,23.677,0,,,,
8/22/2017,8:00:00,23.292,839.6,,,,
8/22/2017,10:00:00,23.388,2411.1,,,,
8/22/2017,12:00:00,23.484,3272.2,,,,
8/22/2017,14:00:00,23.966,2497.2,,,,
8/22/2017,16:00:00,24.062,2152.8,,,,
8/22/2017,18:00:00,24.062,645.8,,,,
8/22/2017,20:00:00,23.292,0,,,,
8/22/2017,22:00:00,23.388,0,,,,
8/23/2017,0:00:00,23.196,0,,,,
8/23/2017,2:00:00,22.717,0,,,,
8/23/2017,4:00:00,21.951,0,,,,
8/23/2017,6:00:00,21.473,0,,,,
8/23/2017,8:00:00,21.091,516.7,,,,
8/23/2017,10:00:00,20.805,1463.9,,,,
8/23/2017,12:00:00,21.378,3444.5,,,,
8/23/2017,14:00:00,22.142,2927.8,,,,
8/23/2017,16:00:00,22.429,1636.1,,,,
8/23/2017,18:00:00,22.525,882.6,,,,
8/23/2017,20:00:00,22.429,0,,,,
8/23/2017,22:00:00,22.142,0,,,,
8/24/2017,0:00:00,21.569,0,,,,
8/24/2017,2:00:00,21.569,0,,,,
8/24/2017,4:00:00,20.996,0,,,,
8/24/2017,6:00:00,20.519,0,,,,
8/24/2017,8:00:00,20.329,1722.2,,,,
8/24/2017,10:00:00,20.424,2927.8,,,,
8/24/2017,12:00:00,20.805,3272.2,,,,
8/24/2017,14:00:00,21.091,2755.6,,,,
8/24/2017,16:00:00,21.378,3444.5,,,,
8/24/2017,18:00:00,21.282,1216.3,,,,
8/24/2017,20:00:00,20.71,0,,,,
8/24/2017,22:00:00,20.805,0,,,,
8/25/2017,0:00:00,20.519,0,,,,
8/25/2017,2:00:00,19.758,0,,,,
8/25/2017,4:00:00,19.567,0,,,,
8/25/2017,6:00:00,18.996,0,,,,
8/25/2017,8:00:00,18.616,742.7,,,,
8/25/2017,10:00:00,18.901,5511.1,,,,
8/25/2017,12:00:00,19.472,5338.9,,,,
8/25/2017,14:00:00,20.329,4133.4,,,,
8/25/2017,16:00:00,20.71,5511.1,,,,
8/25/2017,18:00:00,20.805,1377.8,,,,
8/25/2017,20:00:00,20.71,0,,,,
8/25/2017,22:00:00,20.329,0,,,,
8/26/2017,0:00:00,19.948,0,,,,
8/26/2017,2:00:00,19.853,0,,,,
8/26/2017,4:00:00,19.567,0,,,,
8/26/2017,6:00:00,19.092,0,,,,
8/26/2017,8:00:00,18.616,807.3,,,,
8/26/2017,10:00:00,18.901,2152.8,,,,
8/26/2017,12:00:00,19.758,4650,,,,
8/26/2017,14:00:00,20.71,6544.5,,,,
8/26/2017,16:00:00,20.805,3444.5,,,,
8/26/2017,18:00:00,20.615,1022.6,,,,
