Date,Time,Temp,Intensity,,,,
8/14/2017,12:00:00,21.664,9300.1,,,,
8/14/2017,14:00:00,21.951,4994.5,,,,
8/14/2017,16:00:00,22.717,9644.5,,,,
8/14/2017,18:00:00,22.812,1356.3,,,,
8/14/2017,20:00:00,23.1,10.8,,,,
8/14/2017,22:00:00,23.004,0,,,,
8/15/2017,0:00:00,22.429,0,,,,
8/15/2017,2:00:00,22.621,0,,,,
8/15/2017,4:00:00,22.333,0,,,,
8/15/2017,6:00:00,22.142,21.5,,,,
8/15/2017,8:00:00,22.046,2325,,,,
8/15/2017,10:00:00,22.142,4994.5,,,,
8/15/2017,12:00:00,22.429,7233.4,,,,
8/15/2017,14:00:00,23.581,6544.5,,,,
8/15/2017,16:00:00,24.062,5166.7,,,,
8/15/2017,18:00:00,24.062,1894.5,,,,
8/15/2017,20:00:00,23.869,0,,,,
8/15/2017,22:00:00,23.581,0,,,,
8/16/2017,0:00:00,23.004,0,,,,
8/16/2017,2:00:00,23.004,0,,,,
8/16/2017,4:00:00,22.429,0,,,,
8/16/2017,6:00:00,22.142,43.1,,,,
8/16/2017,8:00:00,22.046,2152.8,,,,
8/16/2017,10:00:00,22.046,3616.7,,,,
8/16/2017,12:00:00,22.717,5166.7,,,,
8/16/2017,14:00:00,23.869,4994.5,,,,
8/16/2017,16:00:00,24.448,5166.7,,,,
8/16/2017,18:00:00,24.545,355.2,,,,
8/16/2017,20:00:00,24.641,0,,,,
8/16/2017,22:00:00,23.869,0,,,,
8/17/2017,0:00:00,24.351,0,,,,
8/17/2017,2:00:00,24.351,0,,,,
8/17/2017,4:00:00,23.004,0,,,,
8/17/2017,6:00:00,23.1,0,,,,
8/17/2017,8:00:00,23.677,226,,,,
8/17/2017,10:00:00,23.581,1044.1,,,,
8/17/2017,12:00:00,23.388,4822.3,,,,
8/17/2017,14:00:00,23.773,6200,,,,
8/17/2017,16:00:00,24.255,4305.6,,,,
8/17/2017,18:00:00,24.255,1463.9,,,,
8/17/2017,20:00:00,23.966,0,,,,
8/17/2017,22:00:00,24.158,0,,,,
8/18/2017,0:00:00,23.773,0,,,,
8/18/2017,2:00:00,23.388,0,,,,
8/18/2017,4:00:00,23.1,0,,,,
8/18/2017,6:00:00,22.812,10.8,,,,
8/18/2017,8:00:00,22.717,1108.7,,,,
8/18/2017,10:00:00,22.717,2066.7,,,,
8/18/2017,12:00:00,22.908,2669.5,,,,
8/18/2017,14:00:00,23.388,1980.6,,,,
8/18/2017,16:00:00,23.773,2583.4,,,,
8/18/2017,18:00:00,24.158,699.7,,,,
8/18/2017,20:00:00,24.351,0,,,,
8/18/2017,22:00:00,24.351,0,,,,
8/19/2017,0:00:00,24.062,0,,,,
8/19/2017,2:00:00,23.677,0,,,,
8/19/2017,4:00:00,23.484,0,,,,
8/19/2017,6:00:00,23.196,0,,,,
8/19/2017,8:00:00,22.908,861.1,,,,
8/19/2017,10:00:00,22.908,1808.3,,,,
8/19/2017,12:00:00,23.196,2669.5,,,,
8/19/2017,14:00:00,23.773,2411.1,,,,
8/19/2017,16:00:00,24.351,2927.8,,,,
8/19/2017,18:00:00,24.448,828.8,,,,
8/19/2017,20:00:00,24.545,0,,,,
8/19/2017,22:00:00,24.351,0,,,,
8/20/2017,0:00:00,23.869,0,,,,
8/20/2017,2:00:00,23.484,0,,,,
8/20/2017,4:00:00,22.812,0,,,,
8/20/2017,6:00:00,22.525,10.8,,,,
8/20/2017,8:00:00,22.238,1463.9,,,,
8/20/2017,10:00:00,22.429,3272.2,,,,
8/20/2017,12:00:00,22.908,4133.4,,,,
8/20/2017,14:00:00,23.677,3788.9,,,,
8/20/2017,16:00:00,23.966,3272.2,,,,
8/20/2017,18:00:00,24.158,312.2,,,,
8/20/2017,20:00:00,24.351,0,,,,
8/20/2017,22:00:00,24.448,0,,,,
8/21/2017,0:00:00,24.255,0,,,,
8/21/2017,2:00:00,23.966,0,,,,
8/21/2017,4:00:00,23.869,0,,,,
8/21/2017,6:00:00,23.484,21.5,,,,
8/21/2017,8:00:00,23.677,2411.1,,,,
8/21/2017,10:00:00,23.869,5166.7,,,,
8/21/2017,12:00:00,24.351,5338.9,,,,
8/21/2017,14:00:00,24.448,2927.8,,,,
8/21/2017,16:00:00,24.738,4822.3,,,,
8/21/2017,18:00:00,24.255,290.6,,,,
8/21/2017,20:00:00,24.448,0,,,,
8/21/2017,22:00:00,24.545,0,,,,
8/22/2017,0:00:00,24.448,0,,,,
8/22/2017,2:00:00,24.158,0,,,,
8/22/2017,4:00:00,24.062,0,,,,
8/22/2017,6:00:00,23.869,0,,,,
8/22/2017,8:00:00,23.388,2066.7,,,,
8/22/2017,10:00:00,23.581,4994.5,,,,
8/22/2017,12:00:00,23.677,6544.5,,,,
8/22/2017,14:00:00,24.062,4994.5,,,,
8/22/2017,16:00:00,24.448,8611.2,,,,
8/22/2017,18:00:00,24.158,1280.9,,,,
8/22/2017,20:00:00,23.388,0,,,,
8/22/2017,22:00:00,23.484,0,,,,
8/23/2017,0:00:00,23.292,0,,,,
8/23/2017,2:00:00,22.812,0,,,,
8/23/2017,4:00:00,22.142,0,,,,
8/23/2017,6:00:00,21.569,10.8,,,,
8/23/2017,8:00:00,21.282,1463.9,,,,
8/23/2017,10:00:00,20.996,3788.9,,,,
8/23/2017,12:00:00,21.569,6544.5,,,,
8/23/2017,14:00:00,22.238,4650,,,,
8/23/2017,16:00:00,22.717,4994.5,,,,
8/23/2017,18:00:00,22.717,2927.8,,,,
8/23/2017,20:00:00,22.621,0,,,,
8/23/2017,22:00:00,22.238,0,,,,
8/24/2017,0:00:00,21.76,0,,,,
8/24/2017,2:00:00,21.664,0,,,,
8/24/2017,4:00:00,21.187,0,,,,
8/24/2017,6:00:00,20.615,0,,,,
8/24/2017,8:00:00,20.424,4133.4,,,,
8/24/2017,10:00:00,20.615,4994.5,,,,
8/24/2017,12:00:00,20.996,6544.5,,,,
8/24/2017,14:00:00,21.378,7577.8,,,,
8/24/2017,16:00:00,22.429,34444.7,,,,
8/24/2017,18:00:00,20.71,2669.5,,,,
8/24/2017,20:00:00,17.95,0,,,,
8/24/2017,22:00:00,19.377,0,,,,
8/25/2017,0:00:00,19.948,0,,,,
8/25/2017,2:00:00,19.377,0,,,,
8/25/2017,4:00:00,19.472,0,,,,
8/25/2017,6:00:00,19.092,10.8,,,,
8/25/2017,8:00:00,18.711,3272.2,,,,
8/25/2017,10:00:00,19.187,13089,,,,
8/25/2017,12:00:00,19.662,13777.9,,,,
8/25/2017,14:00:00,20.519,10677.8,,,,
8/25/2017,16:00:00,21.76,79911.6,,,,
8/25/2017,18:00:00,19.948,2583.4,,,,
8/25/2017,20:00:00,16.523,0,,,,
8/25/2017,22:00:00,15.378,0,,,,
8/26/2017,0:00:00,15.187,0,,,,
8/26/2017,2:00:00,15.664,0,,,,
8/26/2017,4:00:00,18.806,0,,,,
8/26/2017,6:00:00,19.092,10.8,,,,
8/26/2017,8:00:00,18.711,2325,,,,
8/26/2017,10:00:00,19.092,6200,,,,
8/26/2017,12:00:00,19.853,12400.1,,,,
8/26/2017,14:00:00,21.187,11022.3,,,,
8/26/2017,16:00:00,20.901,5511.1,,,,
8/26/2017,18:00:00,20.615,1194.8,,,,
8/26/2017,20:00:00,19.187,0,,,,
8/26/2017,22:00:00,19.092,0,,,,
8/27/2017,0:00:00,18.616,0,,,,
8/27/2017,2:00:00,18.14,0,,,,
8/27/2017,4:00:00,18.236,0,,,,
8/27/2017,6:00:00,19.377,0,,,,
8/27/2017,8:00:00,19.662,3100,,,,
8/27/2017,10:00:00,19.758,2583.4,,,,
8/27/2017,12:00:00,19.948,4650,,,,
8/27/2017,14:00:00,20.901,16533.4,,,,
8/27/2017,16:00:00,20.805,2927.8,,,,
8/27/2017,18:00:00,20.805,1377.8,,,,
8/27/2017,20:00:00,20.519,0,,,,
8/27/2017,22:00:00,19.377,0,,,,
8/28/2017,0:00:00,19.282,0,,,,
8/28/2017,2:00:00,20.138,0,,,,
8/28/2017,4:00:00,20.615,0,,,,
8/28/2017,6:00:00,20.234,0,,,,
8/28/2017,8:00:00,20.043,1280.9,,,,
8/28/2017,10:00:00,20.329,5166.7,,,,
8/28/2017,12:00:00,20.996,13777.9,,,,
8/28/2017,14:00:00,21.76,5338.9,,,,
