id,Sample,Rep,NEP.0,GPP.0,Resp.0,NEP.3,GPP.3,Resp.3,NEP.7,GPP.7,Resp.7,NEP.10,GPP.10,Resp.10,NEP.14,GPP.14,Resp.14,NEP.17,GPP.17,Resp.17,NEP.21,GPP.21,Resp.21,NEP.24,GPP.24,Resp.24,NEP.28,GPP.28,Resp.28,NEP.31,GPP.31,Resp.31
1,H,A,0.159223002,0.203386372,-0.04416337,0.327611321,0.239932018,1.00E-06,0.220942121,0.473683382,-0.252741261,0.745717345,1.092043147,-0.346325802,0.572283986,0.651647178,-0.079363191,0.53432398,0.658837868,-0.124513889,0.799564394,0.226289134,1.00E-06,0.487626404,1.123424597,-0.635798193,0.37232343,0.227097367,1.00E-06,-0.103900507,1.00E-06,1.00E-06
2,H,B,0.068667446,0.159225869,-0.090558422,0.219425481,0.155161408,1.00E-06,0.280286781,0.376980813,-0.096694032,0.642986253,0.740589766,-0.097603513,0.049324095,0.049324095,0,0.264184322,0.342000281,-0.077815959,0.64348456,0.211050314,1.00E-06,0.69366573,0.787325005,-0.093659274,-0.002243943,0.029994981,-0.032238924,0.055556015,0.214243739,-0.158687725
3,H,C,0.181861891,0.327559848,-0.145697958,0.052273484,0.011234274,1.00E-06,-0.098106076,0.172293019,-0.270399095,0.796867973,1.114521486,-0.317653513,0.685958333,0.686004456,-4.61E-05,0.202373311,0.436086546,-0.233713235,0.768693182,0.22127093,1.00E-06,0.418946629,0.611194613,-0.192247984,-0.190735132,0,-0.109612342,0.136664852,0.443235641,-0.306570789
4,So,A,0.077723002,0.213948711,-0.136225709,-0.083313048,0.101912675,-0.185225723,-0.094536332,0.072838389,-0.167374721,0.441360499,0.730570187,-0.289209688,0.069703947,0.018435684,1.00E-06,0.201670918,0.259614692,-0.057943773,0.548184524,0.115750277,1.00E-06,0.55630618,0.897526059,-0.34121988,-0.104544214,0.134023824,-0.238568038,0.086922641,0.218587557,-0.131664916
5,So,B,-0.03534907,0.07690605,-0.112255121,0.086328427,0.169527022,-0.083198596,-0.064079416,0.050087322,-0.114166738,0.593538922,0.757506721,-0.163967799,0.232666485,0.541210828,-0.308544343,0.117226027,0.266061994,-0.148835967,0.548184524,0.29226224,1.00E-06,0.590646067,0.983592496,-0.392946429,-0.077852074,0.1062078,-0.184059874,0.116059021,0.44096731,-0.324908289
6,So,C,0.010754009,0.150974817,-0.140220807,-0.06493455,0.038502785,-0.103437335,-0.146166707,0.118307408,-0.264474115,0.393556851,0.393556851,0,0.001756466,0.001756466,NA,0.051818772,0.427885221,-0.37606645,0.263830128,1.00E-06,1.00E-06,0.521966292,0.819135264,-0.297168972,-0.022146739,0.056710478,-0.078857218,0.273659344,0.451867633,-0.178208289
7,Sh,A,0.080582651,0.231172415,-0.150589764,0.123861321,0.00134983,1.00E-06,-0.085899855,0,-0.03799055,0.645512427,0.645512427,0,0.083511266,0.083511266,0,0.241731272,0.489691177,-0.247959906,0.440113449,0.186739045,1.00E-06,0.453286517,0.896081792,-0.442795276,-0.019845779,0.110162066,-0.130007845,-0.061625466,0.354097109,-0.415722575
8,Sh,B,0.159824034,0.24042334,-0.080599306,-0.062548253,1.00E-06,1.00E-06,0.05699911,0.068222536,-0.011223427,0.219641526,0.256408818,-0.036767293,0.138445513,0.295207712,-0.156762199,0.220433362,0.794637908,-0.574204545,0.316236979,0.096999983,1.00E-06,0.10988764,0.434614203,-0.324726562,-0.015303112,0.217005989,-0.2323091,0.454197319,0.718654427,-0.264457108
9,Sh,C,0,0.083842107,-0.083842107,-0.072770775,0.023891041,-0.096661816,-0.051613672,0,-0.034972529,-0.077598981,0.055428154,-0.133027135,0.088869681,0.069754657,1.00E-06,-0.099035279,0.292583067,-0.391618346,0.302012411,0.059073347,1.00E-06,0.418946629,0.673435929,-0.2544893,-0.041537017,0.399350588,-0.440887605,-0.035834327,0.252687742,-0.288522069
10,F,A,0.086081976,0.086081976,0,-0.682719257,1.00E-06,-0.402695979,-0.577122721,0.458328033,-1.035450754,-0.1773949,0.551593907,-0.728988807,-0.426493644,0.141748228,-0.568241872,0.034960793,0.310371915,-0.275411122,0.396422683,0.506840262,-0.110417579,-0.096151685,0.468079084,-0.564230769,-0.470688291,0.072930406,-0.543618697,-0.629030529,1.00E-06,-0.605551767
11,F,B,0.05793349,0.05793349,0,-0.720976545,1.00E-06,-0.55117776,-0.811231076,0,-0.66171504,-0.826068369,0,-0.489282925,-0.633697034,0.117720143,-0.751417177,-0.373541667,0,-0.362929687,-0.224633467,1.00E-06,-0.19995585,-0.267851124,0.156757655,-0.424608779,-0.238568038,0.361075949,-0.599643987,-0.551657111,0.150534972,-0.702192084
12,F,C,0.107391861,0.16175575,-0.054363889,-0.496247374,1.00E-06,-0.359868581,-0.870946403,0.125558304,-0.996504707,-1.00786872,0,-0.651739841,-0.555995763,0.295002066,-0.850997829,-0.466958643,0.039232763,-0.506191406,-0.336829955,1.00E-06,-0.141763733,-0.507648305,0.010281084,-0.517929389,-0.393314873,0.361075949,-0.754390823,-0.555919206,0.117642232,-0.673561439
13,T,A,-0.032907989,0.0195549,-0.052462889,-0.235985712,1.00E-06,-0.192619187,-1.023510033,0,-0.438960654,-0.479643692,0.323624152,-0.803267845,-0.231292389,0.206158883,-0.437451273,-0.44331675,0.319007143,-0.762323893,-0.796772231,1.00E-06,1.00E-06,-0.291960661,1.054092007,-1.346052669,-0.375183093,0.297853529,-0.673036622,-0.691926123,1.00E-06,-0.430886179
14,T,B,-0.015605359,0.074546947,-0.090152306,-0.337397182,1.00E-06,-0.065737162,-0.456381595,0,-0.398861707,-0.877277963,0.599829751,-1.477107714,-0.744567901,0.135292192,-0.879860094,-0.482058538,0.559330351,-1.041388889,-0.548714331,1.00E-06,-0.319902441,-0.048838951,0.215423802,-0.264262753,-0.433036412,0.24000021,-0.673036622,-0.567628422,0.089646646,-0.657275068
15,T,C,0,0.038515619,-0.038515619,-0.380969339,0.001935138,-0.382904477,-0.996445442,0.328221535,-1.324666977,-0.812941771,0.449522262,-1.262464033,-0.394486277,0.112634572,-0.507120849,-0.626766542,0.527816792,-1.154583333,-0.389495772,0.161748222,-0.551243994,-0.564361215,0.262283257,-0.826644472,-0.47379278,0.34642913,-0.82022191,-0.314109222,0.410146538,-0.72425576
