Date.Sampled,Sample,Rep,750A,665A,750B,665B,chla,area
8/15/2017,H,A,0.0078,0.0077,0,0.0004,0.715,16
8/15/2017,H,B,0.0073,0.0067,0,0.005,8.008,16
8/15/2017,H,C,0.0059,0.005,0,0,1.287,16
8/15/2017,So,A,0.0012,0.0013,0,0,-0.143,16
8/15/2017,So,B,0.0009,0.0011,0,0,-0.286,16
8/15/2017,So,C,0.0011,0.0011,0,0.0004,0.572,16
8/15/2017,Sh,A,0.0017,0.0016,0,0,0.143,16
8/15/2017,Sh,B,0.0012,0.001,0,0,0.286,16
8/15/2017,Sh,C,0.0009,0.0009,0,0,0,16
8/15/2017,F,A,0.0006,0.0004,0,0,0.286,16
8/15/2017,F,B,0.0007,0.0003,0,0,0.572,16
8/15/2017,F,C,0.0005,0.0006,0,0,-0.143,16
8/15/2017,T,A,0.0016,0.0013,0.0004,0.0009,1.144,20.25
8/15/2017,T,B,0.0038,0.0042,0.0017,0.0024,0.429,20.25
8/15/2017,T,C,0.0043,0.005,0,0,-1.001,20.25
8/15/2017,Cr,A,0.0011,0.001,0,0,0.143,1
8/15/2017,Cr,B,0.0005,0.0004,0,0,0.143,1
8/15/2017,Cr,C,0.0009,0.0009,0,0,0,1
8/18/2017,H,A,0.0046,0.0056,0.0034,0.0046,0.286,16
8/18/2017,H,B,0.001,0.0016,0.0021,0.0028,0.143,16
8/18/2017,H,C,0.0009,0.0018,0.0009,0.0021,0.429,16
8/18/2017,So,A,0.001,0.0028,0.0017,0.004,0.715,16
8/18/2017,So,B,0.0012,0.0026,0.0006,0.0021,0.143,16
8/18/2017,So,C,0.0013,0.004,0.0004,0.0039,1.144,16
8/18/2017,Sh,A,0.0013,0.0033,0.0011,0.0032,0.143,16
8/18/2017,Sh,B,0.001,0.0017,0.0004,0.0012,0.143,16
8/18/2017,Sh,C,0.0009,0.0012,0.0005,0.0012,0.572,16
8/18/2017,F,A,0.0012,0.0026,0.0009,0.0024,0.143,16
8/18/2017,F,B,0.0023,0.0032,0.0021,0.0027,-0.429,16
8/18/2017,F,C,0.001,0.0031,0.0006,0.0028,0.143,16
8/18/2017,T,A,0.0024,0.0045,0.002,0.0043,0.286,20.25
8/18/2017,T,B,0.001,0.0027,0.0006,0.0027,0.572,20.25
8/18/2017,T,C,0.0009,0.0039,0.0006,0.0039,0.429,20.25
8/18/2017,Cr,A,0.004,0.0005,0,0.0004,5.577,1
8/18/2017,Cr,B,0.0006,0.0006,0.0004,0.0005,0.143,1
8/18/2017,Cr,C,0.0005,0.0006,0.0002,0.0004,0.143,1
8/22/2017,H,A,0.0021,0.0026,0,0.0009,0.572,16
8/22/2017,H,B,0.001,0.0016,0,0.0005,-0.143,16
8/22/2017,H,C,0.0009,0.0011,0,0,-0.286,16
8/22/2017,So,A,0.0034,0.004,0,0.0013,1.001,16
8/22/2017,So,B,0.0017,0.0039,0,0.0034,1.716,16
8/22/2017,So,C,0.001,0.0024,0,0.0017,0.429,16
8/22/2017,Sh,A,0.0016,0.0034,0,0.0032,2.002,16
8/22/2017,Sh,B,0.002,0.0028,0,0.0043,5.005,16
8/22/2017,Sh,C,0.0009,0.0078,0,0.0043,-3.718,16
8/22/2017,F,A,0.0028,0.0178,0,0.0098,-7.436,16
8/22/2017,F,B,0.0061,0.0082,0,0.0222,28.743,16
8/22/2017,F,C,0.0057,0.0082,0,0.0056,4.433,16
8/22/2017,T,A,0.0023,0.005,0.0004,0.005,2.717,20.25
8/22/2017,T,B,0.0043,0.0096,0.0017,0.0111,5.863,20.25
8/22/2017,T,C,0.0049,0.0067,0,0.0049,4.433,20.25
8/22/2017,Cr,A,0.0039,0.0043,0,0,-0.572,1
8/22/2017,Cr,B,0.0005,0.0005,0,0,0,1
8/22/2017,Cr,C,0.0013,0.0016,0,0,-0.429,1
8/25/2017,H,A,0.0146,0.0133,0.0001,0.0011,3.289,16
8/25/2017,H,B,0.0074,0.007,0.0013,0.0028,2.717,16
8/25/2017,H,C,0.0026,0.0034,0.005,0.004,-2.574,16
8/25/2017,So,A,-0.0006,-0.0028,0.0009,0.0016,4.147,16
8/25/2017,So,B,-0.0038,-0.0026,0.001,0.0073,7.293,16
8/25/2017,So,C,0.0009,-0.0011,0.0004,0.0012,4.004,16
8/25/2017,Sh,A,,,0,0.004,5.72,16
8/25/2017,Sh,B,-0.0032,0.0027,0,0.0127,9.724,16
8/25/2017,Sh,C,-0.0026,-0.0039,0.0011,0.0023,3.575,16
8/25/2017,F,A,0.0004,-0.0023,0,0.0006,4.719,16
8/25/2017,F,B,0.002,0.0009,0.0005,0.002,3.718,16
8/25/2017,F,C,0.002,0.0081,0,0.0133,10.296,16
8/25/2017,T,A,0.0038,0.0134,0.0005,0.0134,4.719,20.25
8/25/2017,T,B,0.0062,0.0184,0.0018,0.0226,12.298,20.25
8/25/2017,T,C,0.001,0.009,0,0.0157,11.011,20.25
8/25/2017,Cr,A,-0.001,-0.0039,0,0,4.147,1
8/25/2017,Cr,B,0.0021,-0.001,0,0,4.433,1
8/25/2017,Cr,C,0.0035,-0.0001,0,0,5.148,1
8/29/2017,H,A,0.0146,0.0133,0.0001,0.0011,3.289,16
8/29/2017,H,B,0.0074,0.007,0.0013,0.0028,2.717,16
8/29/2017,H,C,0.0026,0.0034,0.005,0.004,-2.574,16
8/29/2017,So,A,-0.0006,-0.0028,0.0009,0.0016,4.147,16
8/29/2017,So,B,-0.0038,-0.0026,0.001,0.0073,7.293,16
8/29/2017,So,C,0.0009,-0.0011,0.0004,0.0012,4.004,16
8/29/2017,Sh,A,,,,,,16
8/29/2017,Sh,B,-0.0032,0.0027,0,0.0127,9.724,16
8/29/2017,Sh,C,-0.0026,-0.0039,0.0011,0.0023,3.575,16
8/29/2017,F,A,0.0004,-0.0023,0,0.0006,4.719,16
8/29/2017,F,B,0.002,0.0009,0.0005,0.002,3.718,16
8/29/2017,F,C,0.002,0.0081,0,0.0133,10.296,16
8/29/2017,T,A,0.0038,0.0134,0.0005,0.0134,4.719,20.25
8/29/2017,T,B,0.0062,0.0184,0.0018,0.0226,12.298,20.25
8/29/2017,T,C,0.001,0.009,0,0.0157,11.011,20.25
8/29/2017,Cr,A,-0.001,-0.0039,0,0,4.147,1
8/29/2017,Cr,B,0.0021,-0.001,0,0,4.433,1
