Date Sampled,Substrate,Rep,doy,OD,area
8/15/2017,H,A,227,0.022,16
8/15/2017,H,B,227,0.0554,16
8/15/2017,H,C,227,0.0269,16
8/15/2017,So,A,227,0.0175,16
8/15/2017,So,B,227,0.0288,16
8/15/2017,So,C,227,0.0288,16
8/15/2017,Sh,A,227,0.0435,16
8/15/2017,Sh,B,227,0.0343,16
8/15/2017,Sh,C,227,0.0277,16
8/15/2017,F,A,227,0.0176,16
8/15/2017,F,B,227,0.1234,16
8/15/2017,F,C,227,0.0253,16
8/15/2017,T,A,227,0.2799,20.25
8/15/2017,T,B,227,0.025,20.25
8/15/2017,T,C,227,0.0765,20.25
8/18/2017,H,A,230,0.1604,16
8/18/2017,H,B,230,0.0832,16
8/18/2017,H,C,230,0.2372,16
8/18/2017,So,A,230,0.1209,16
8/18/2017,So,B,230,0.1489,16
8/18/2017,So,C,230,0.1813,16
8/18/2017,Sh,A,230,0.1327,16
8/18/2017,Sh,B,230,0.1838,16
8/18/2017,Sh,C,230,0.1658,16
8/18/2017,F,A,230,0.1074,16
8/18/2017,F,B,230,0.1922,16
8/18/2017,F,C,230,0.2914,16
8/18/2017,T,A,230,0.2737,20.25
8/18/2017,T,B,230,0.3068,20.25
8/18/2017,T,C,230,0.3068,20.25
8/22/2017,H,A,234,0.296,16
8/22/2017,H,B,234,0.301,16
8/22/2017,H,C,234,0.296,16
8/22/2017,So,A,234,0.1852,16
8/22/2017,So,B,234,0.2436,16
8/22/2017,So,C,234,0.301,16
8/22/2017,Sh,A,234,0.1464,16
8/22/2017,Sh,B,234,0.1499,16
8/22/2017,Sh,C,234,0.301,16
8/22/2017,F,A,234,0.296,16
8/22/2017,F,B,234,0.301,16
8/22/2017,F,C,234,0.2737,16
8/22/2017,T,A,234,0.2872,20.25
8/22/2017,T,B,234,0.2135,20.25
8/22/2017,T,C,234,0.301,20.25
8/25/2017,H,A,237,0.6284,16
8/25/2017,H,B,237,0.6842,16
8/25/2017,H,C,237,0.6831,16
8/25/2017,So,A,237,0.3704,16
8/25/2017,So,B,237,0.4651,16
8/25/2017,So,C,237,0.3538,16
8/25/2017,Sh,A,237,0.3007,16
8/25/2017,Sh,B,237,0.3396,16
8/25/2017,Sh,C,237,0.2439,16
