group	axis1	axis2
170818HA	-0.051925	0.138262
170818FA	-0.133793	-0.001909
170818FB	-0.113389	0.162034
170818FC	-0.071516	0.13594
170818HB	0.043133	0.029911
170818HC	-0.04001	-0.13663
170818SHA	-0.284577	-0.016225
170818SHB	0.041173	0.07861
170818SHC	-0.12562	0.111182
170818SOA	-0.088831	0.085217
170818SOB	-0.283766	0.130758
170818SOC	-0.361875	0.032628
170818TA	-0.056943	0.153647
170818TB	-0.009484	0.072702
170818TC	-0.039021	0.152886
170828CRB	-0.258253	-0.476397
170828FA	-0.122543	-0.007533
170828FB	-0.141941	0.185127
170828FC	-0.085463	0.138305
170828HA	-0.076394	0.157739
170828HC	-0.132756	0.115815
170828SHA	-0.299209	-0.031213
170828SHB	0.032381	0.061144
170828SHC	-0.325795	0.006091
170828SOA	-0.111621	0.084149
170828SOB	-0.313819	0.136139
170828SOC	-0.06108	-0.154527
170828TA	-0.040268	0.165499
170828TB	-0.000581	0.078915
170828TC	-0.045711	0.174361
170905FA	0.110581	-0.179904
170905FB	0.139617	-0.04826
170905FC	0.073362	-0.191518
170905HA	0.102295	-0.127209
170905HB	0.111551	0.031133
170905HC	0.062654	-0.044232
170905SHA	0.297528	0.155634
170905SHB	0.092752	-0.003112
170905SHC	0.232559	0.007422
170905SOA	0.012332	-0.155318
170905SOB	-0.042318	-0.01282
170905SOC	0.218539	0.196456
170905TA	0.153201	-0.051059
170905TB	0.113978	-0.008818
170905TC	0.138307	-0.01625
170915FA	0.037448	-0.217422
170915FB	0.088909	-0.075182
170915FC	0.123145	-0.035097
170915HA	0.181128	-0.056473
170915HB	0.106975	-0.056118
170915SHA	0.06093	-0.134653
170915SHB	0.139576	0.007775
170915SHC	0.052287	-0.210194
170915SOA	0.166012	-0.234327
170915SOB	0.071802	-0.294374
170915SOC	0.11289	-0.060012
170915TA	0.183031	-0.046496
170915TB	0.171906	-0.00305
170915TC	0.208657	0.074724
170828HB	0.037861	0.026125
